congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
108,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
109,House,100,Democrat,203,-0.391,-0.04,-0.38742364532,0.0307192118227
109,House,200,Republican,236,0.409,0.022,0.422740425532,-0.00252340425532
109,House,328,Independent,1,-0.52,-0.361,-0.52,-0.361
109,President,200,Republican,1,0.693,-0.539,0.693,-0.539
109,Senate,100,Democrat,45,-0.321,-0.135,-0.307444444444,-0.0987333333333
109,Senate,200,Republican,55,0.382,-0.121,0.378254545455,-0.166072727273
109,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
110,House,100,Democrat,242,-0.379,-0.0075,-0.367851239669,0.0456611570248
110,House,200,Republican,206,0.426,0.0515,0.439587378641,0.0261941747573
110,President,200,Republican,1,0.693,-0.539,0.693,-0.539
110,Senate,100,Democrat,50,-0.3115,-0.1315,-0.29532,-0.08408
110,Senate,200,Republican,51,0.403,-0.11,0.391745098039,-0.142764705882
110,Senate,328,Independent,1,-0.52,-0.361,-0.52,-0.361
111,House,100,Democrat,263,-0.349,-0.007,-0.34791634981,0.0396844106464
111,House,200,Republican,183,0.435,0.05,0.456273224044,0.0283551912568
111,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
111,Senate,100,Democrat,66,-0.3165,-0.117,-0.308393939394,-0.0686060606061
111,Senate,200,Republican,44,0.403,-0.0645,0.398886363636,-0.115954545455
111,Senate,328,Independent,1,-0.52,-0.361,-0.52,-0.361
112,House,100,Democrat,200,-0.4,-0.0775,-0.393175,-0.0331
112,House,200,Republican,245,0.467,0.049,0.46807755102,0.0321755102041
112,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
112,Senate,100,Democrat,53,-0.319,-0.118,-0.299396226415,-0.0659245283019
112,Senate,200,Republican,48,0.412,-0.0645,0.443895833333,-0.087
112,Senate,328,Independent,1,-0.52,-0.361,-0.52,-0.361
113,House,100,Democrat,204,-0.3935,-0.0845,-0.384112745098,-0.0703431372549
113,House,200,Republican,240,0.4915,0.088,0.484058333333,0.0433625
113,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
113,Senate,100,Democrat,57,-0.326,-0.122,-0.326298245614,-0.0732280701754
113,Senate,200,Republican,46,0.4185,-0.012,0.471391304348,-0.0448695652174
113,Senate,328,Independent,2,-0.336,-0.296,-0.336,-0.296
114,House,100,Democrat,190,-0.396,-0.0845,-0.395026315789,-0.0769052631579
114,House,200,Republican,251,0.492,0.077,0.482944223108,0.0413227091633
114,Senate,100,Democrat,44,-0.3285,-0.161,-0.333159090909,-0.120363636364
114,Senate,200,Republican,54,0.4525,-0.014,0.481259259259,-0.0597777777778
114,Senate,328,Independent,2,-0.336,-0.296,-0.336,-0.296
115,House,100,Democrat,196,-0.395,-0.0775,-0.390030612245,-0.0620459183673
115,House,200,Republican,249,0.5035,0.072,0.491512096774,0.0442016129032
115,President,200,Republican,1,,,,
115,Senate,100,Democrat,48,-0.3285,-0.1355,-0.335145833333,-0.1004375
115,Senate,200,Republican,55,0.463,-0.01,0.490381818182,-0.0276545454545
115,Senate,328,Independent,2,-0.336,-0.296,-0.336,-0.296
